time,cbr,,time,tcp
,,,6.865488,345.6884638
,,,6.866,831.4302359
,,,6.86632,345.7980403
,,,6.866832,831.4809507
,,,6.866896,685.1712914
,,,6.867152,345.9075902
,,,6.867664,831.5316533
,,,6.867728,685.2397183
,,,6.867984,346.0171136
,,,6.86856,685.3081286
,,,6.868816,346.1266105
,,,6.869296,831.4854972
,,,6.869392,685.3765224
,,,6.869648,346.2360808
,,,6.870128,831.536181
,,,6.870224,685.4448996
,,,6.87048,346.3455246
,,,6.87096,831.5868525
,,,6.871056,685.5132603
,,,6.871792,831.6375117
,,,6.871856,346.4275154
,,,6.871888,685.5816044
,,,6.872624,831.6881587
,,,6.87272,685.6499319
,,,6.873456,831.7387934
,,,6.873488,346.4965677
,,,6.874288,831.7894159
,,,6.87432,346.6059188
,,,6.874352,685.6384427
,,,6.87512,831.8400261
,,,6.875152,346.7152435
,,,6.875184,685.7067389
,,,6.875952,831.890624
,,,6.875984,346.8245418
,,,6.876016,685.7750186
,,,6.876816,346.9338136
,,,6.877584,831.8444384
,,,6.877648,347.0430589
,,,6.878416,831.8950177
,,,6.87848,347.1522778
,,,6.878576,685.6709877
,,,6.879248,831.9455847
,,,6.879408,685.739238
,,,6.879856,347.2340119
,,,6.88008,831.9961396
,,,6.880912,832.0466822
,,,6.881488,347.3027927
,,,6.881744,832.0972126
,,,6.88232,347.4119192
,,,6.882544,685.577891
,,,6.882576,832.1477307
,,,6.883152,347.5210194
,,,6.883376,685.6461132
,,,6.883408,832.1982367
,,,6.883984,347.6300933
,,,6.88424,832.2487304
,,,6.884816,347.7391407
,,,6.885648,347.8481619
,,,6.885872,832.2025155
,,,6.88648,347.9571566
,,,6.886512,685.4849015
,,,6.886704,832.2529907
,,,6.887312,348.0661251
,,,6.887344,685.5530956
,,,6.887536,832.3034537
,,,6.888144,348.1750672
,,,6.888368,832.3539044
,,,6.8892,832.404343
,,,6.889776,348.2435423
,,,6.890032,832.4547694
,,,6.89048,685.3920191
,,,6.890608,348.3524241
,,,6.890864,832.5051837
,,,6.891312,685.4601852
,,,6.89144,348.4612795
,,,6.891696,832.5555857
,,,6.893328,832.5093482
,,,6.89416,832.5597317
,,,6.894448,685.2992437
,,,6.894992,832.6101031
,,,6.89528,685.3673817
,,,6.895824,832.6604623
,,,6.896656,832.7108094
,,,6.897264,685.32102
,,,6.897488,832.7611443
,,,6.898096,685.3891277
,,,6.89832,832.8114671
,,,6.898928,685.4572189
,,,6.899152,832.8617778
,,,6.89976,685.5252936
,,,6.899984,832.9120763
,,,6.900592,685.593352
,,,6.901424,685.6613939
,,,6.901616,832.86581
,,,6.902448,832.9160901
,,,6.902576,348.0497716
,,,6.90328,832.966358
,,,6.903408,348.1584748
,,,6.904112,833.0166139
,,,6.904944,833.0668576
,,,6.905264,685.7319286
,,,6.905776,833.1170892
,,,6.906096,685.7999078
,,,6.906608,833.1673088
,,,6.906928,685.8678706
,,,6.90744,833.2175162
,,,6.90776,685.9358171
,,,6.908272,833.2677115
,,,6.908592,686.0037472
,,,6.909424,686.071661
,,,6.909904,833.2214167
,,,6.910448,686.1204946
,,,6.910576,348.248829
,,,6.910736,833.2715936
,,,6.91128,686.1883761
,,,6.911408,348.3573825
,,,6.911568,833.3217585
,,,6.9124,833.3719113
,,,6.913232,833.4220521
,,,6.913264,686.1418861
,,,6.914064,833.4721808
,,,6.914096,686.2097373
,,,6.914544,348.3497972
,,,6.914896,833.5222974
,,,6.914928,686.2775722
,,,6.915376,348.4582762
,,,6.915728,833.5724019
,,,6.91576,686.3453908
,,,6.916592,686.4131931
,,,6.91736,833.5260851
,,,6.917424,686.480979
,,,6.918192,833.5761713
,,,6.918256,686.5487487
,,,6.918512,348.4506495
,,,6.919024,833.6262456
,,,6.919088,686.6165021
,,,6.919344,348.5590542
,,,6.919856,833.6763077
,,,6.920368,686.6397856
,,,6.920688,833.7263578
,,,6.92152,833.7763959
,,,6.922,686.6281422
,,,6.922352,833.826422
,,,6.92248,348.5513862
,,,6.922832,686.6958493
,,,6.923184,833.876436
,,,6.923312,348.6597166
,,,6.923664,686.7635402
,,,6.924016,833.9264381
,,,6.924496,686.8312149
,,,6.925328,686.8988732
,,,6.925648,833.8800932
,,,6.92616,686.9665154
,,,6.926448,348.6520075
,,,6.92648,833.930077
,,,6.926992,687.0341412
,,,6.92728,348.7602638
,,,6.927312,833.9800488
,,,6.927824,687.1017509
,,,6.928144,834.0300086
,,,6.928656,687.1693442
,,,6.928976,834.0799564
,,,6.929264,348.8104942
,,,6.929808,834.1298922
,,,6.930096,348.9186874
,,,6.930288,687.15759
,,,6.93064,834.179816
,,,6.930928,349.0268547
,,,6.93112,687.2251526
,,,6.931472,834.2297278
,,,6.93176,349.134996
,,,6.931952,687.2926991
,,,6.932304,834.2796277
,,,6.932592,349.2431114
,,,6.932784,687.3602293
,,,6.933424,349.3512008
,,,6.933616,687.4277433
,,,6.933936,834.2332551
,,,6.934448,687.4952411
,,,6.934768,834.2831368
,,,6.93528,687.5627228
,,,6.9356,834.3330065
,,,6.936112,687.6301882
,,,6.936432,834.3828643
,,,6.937264,834.4327101
,,,6.937744,687.6183382
,,,6.938096,834.4825439
,,,6.938576,687.685773
,,,6.938928,834.5323658
,,,6.939408,687.7531916
,,,6.93976,834.5821758
,,,6.94024,687.8205941
,,,6.940592,834.6319738
,,,6.941424,350.1471744
,,,6.942,687.7960242
,,,6.942224,834.5855737
,,,6.942448,350.2453313
,,,6.942832,687.8633964
,,,6.943056,834.6353537
,,,6.94328,350.3531472
,,,6.943888,834.6851216
,,,6.94472,834.7348777
,,,6.945264,350.4028069
,,,6.945552,834.7846219
,,,6.945968,687.7025636
,,,6.946096,350.5105602
,,,6.946384,834.8343541
,,,6.9468,687.7699084
,,,6.946928,350.6182877
,,,6.947216,834.8840744
,,,6.94776,350.7259894
,,,6.948048,834.9337828
,,,6.948592,350.8336653
,,,6.94888,834.9834794
,,,6.949424,350.9413154
,,,6.949936,687.6092096
,,,6.950256,351.0489398
,,,6.950512,834.9370521
,,,6.950768,687.6765273
,,,6.951088,351.1565384
,,,6.951344,834.9867306
,,,6.952176,835.0363972
,,,6.952368,351.2414763
,,,6.953008,835.086052
,,,6.95384,835.1356948
,,,6.953904,687.5159623
,,,6.954,351.3085994
,,,6.954672,835.1853258
,,,6.954736,687.5832526
,,,6.954832,351.416109
,,,6.955504,835.2349449
,,,6.955664,351.5235929
,,,6.956336,835.2845521
,,,6.957168,835.3341475
,,,6.957872,687.4228212
,,,6.958704,687.4900844
,,,6.9588,835.2876933
,,,6.959632,835.3372707
,,,6.960464,835.3868363
,,,6.961264,687.3866585
,,,6.961296,835.43639
,,,6.962096,687.4538932
,,,6.962128,835.4859319
,,,6.962928,687.5211118
,,,6.96296,835.5354619
,,,6.96376,687.5883144
,,,6.963792,835.5849801
,,,6.964592,687.6555009
,,,6.964624,835.6344865
,,,6.965424,687.7226713
,,,6.966,351.1513063
,,,6.966256,835.5880117
,,,6.966832,351.2586496
,,,6.967088,835.6375002
,,,6.96792,835.6869769
,,,6.968752,835.7364418
,,,6.969264,687.7914225
,,,6.969584,835.7858948
,,,6.970032,351.246594
,,,6.970096,687.8585316
,,,6.970416,835.8353361
,,,6.970864,351.3538637
,,,6.970928,687.9256248
,,,6.971248,835.8847655
,,,6.97176,687.992702
,,,6.97208,835.9341832
,,,6.972592,688.0597631
,,,6.972912,835.9835891
,,,6.973424,688.1268083
,,,6.974,351.3449957
,,,6.974256,688.1938375
,,,6.974544,835.9370878
,,,6.974832,351.4521927
,,,6.975088,688.2608506
,,,6.975376,835.9864759
,,,6.976208,836.0358521
,,,6.97704,836.0852167
,,,6.977264,688.1952582
,,,6.977872,836.1345694
,,,6.977968,351.4432855
,,,6.978096,688.2622423
,,,6.978704,836.1839104
